sentences,llm_responses,actual_labels,complete_responses,extracted_labels
Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,NEUTRAL,2,"ModelResponse(id='8ec0d2805bac8c84-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=106, total_tokens=110))",2
"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.",NEUTRAL,0,"ModelResponse(id='8ec0d28059110f69-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=115, total_tokens=119))",2
Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,NEUTRAL,0,"ModelResponse(id='8ec0d2807a41439a-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=102, total_tokens=106))",2
"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.",NEUTRAL,2,"ModelResponse(id='8ec0d2808db532fa-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=109, total_tokens=113))",2
"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.",DOVISH,2,"ModelResponse(id='8ec0d2807e2f6a5f-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='DOVISH', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=149, total_tokens=153))",0
"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.",NEUTRAL,0,"ModelResponse(id='8ec0d280a98742b3-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=116, total_tokens=120))",2
maintaining low and stable inflation.,NEUTRAL,2,"ModelResponse(id='8ec0d280ca320cc4-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=87, total_tokens=91))",2
"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.",NEUTRAL,2,"ModelResponse(id='8ec0d280eb7e43d5-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=101, total_tokens=105))",2
"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.",NEUTRAL,2,"ModelResponse(id='8ec0d280e8a94332-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=109, total_tokens=113))",2
"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.",NEUTRAL,1,"ModelResponse(id='8ec0d2810d377277-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=123, total_tokens=127))",2
"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.",NEUTRAL,0,"ModelResponse(id='8ec0d2a05d448ccd-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200240, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=117, total_tokens=121))",2
An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,NEUTRAL,2,"ModelResponse(id='8ec0d2814b691a34-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=105, total_tokens=109))",2
"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.",NEUTRAL,2,"ModelResponse(id='8ec0d2816d17c409-EWR', choices=[Choices(finish_reason='stop', index=0, message=Message(content='NEUTRAL', role='assistant', tool_calls=[]))], created=1733200235, model='meta-llama/Llama-3-8b-chat-hf', object='chat.completion', system_fingerprint=None, usage=Usage(completion_tokens=4, prompt_tokens=117, total_tokens=121))",2
